year,2,3,4,5,6,7,8,9,10
29/30,167,190,218,270,289,392,574,665,802
30/31,136,190,257,340,441,498,582,740,961
31/32,127,152,221,349,440,503,593,675,809
32/33,132,143,182,297,421,535,641,721,827
33/34,146,165,189,251,383,528,645,787,818
34/35,157,189,202,229,277,521,711,798,819
35/36,154,178,214,280,313,383,643,789,876
36/37,149,171,198,255,338,377,467,781,885
37/38,160,173,222,310,383,490,519,624,845
