var,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
M,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fec,32.5,88.3,174.4,298.1,467.6,691.5,978.8,1171.9,1386.9,1624.6,1885.9,2171.6,2482.6
